happy,year,age,sex,marital,degree,finrela,health,wtssall
not too happy,1973,65,female,widowed,high school,average,fair,0.4572
very happy,1973,43,male,married,lt high school,above average,good,0.9145
very happy,1973,74,female,widowed,lt high school,average,excellent,0.4572
pretty happy,1973,57,female,married,lt high school,average,good,0.9145
very happy,1973,60,female,married,lt high school,below average,fair,0.9145
very happy,1973,52,male,married,high school,above average,excellent,0.9145
pretty happy,1973,24,male,married,high school,average,good,0.9145
pretty happy,1973,41,female,married,bachelor,average,fair,0.9145
pretty happy,1973,29,male,married,high school,above average,excellent,0.9145
not too happy,1973,74,male,married,lt high school,below average,poor,0.9145
pretty happy,1973,64,female,married,lt high school,average,poor,0.9145
very happy,1973,35,female,married,high school,above average,good,0.9145
pretty happy,1973,36,male,divorced,high school,above average,good,0.4572
very happy,1973,34,male,married,lt high school,average,good,0.9145
pretty happy,1973,55,female,widowed,high school,above average,excellent,0.9145
very happy,1973,34,female,married,high school,average,excellent,0.9145
very happy,1973,57,female,married,high school,above average,excellent,0.9145
pretty happy,1973,24,male,married,lt high school,below average,good,1.829
pretty happy,1973,60,male,married,lt high school,average,good,1.829
very happy,1973,61,female,married,lt high school,average,fair,0.9145
very happy,1973,26,female,married,high school,average,excellent,1.3717
very happy,1973,74,male,married,lt high school,average,poor,1.3717
pretty happy,1973,56,female,married,high school,average,fair,0.9145
not too happy,1973,22,male,married,high school,below average,fair,0.9145
pretty happy,1973,47,male,married,lt high school,average,good,1.3717
pretty happy,1973,66,female,separated,lt high school,average,fair,1.829
pretty happy,1973,64,male,widowed,lt high school,average,good,1.3717
very happy,1973,27,female,married,high school,average,good,0.9145
pretty happy,1973,32,female,married,high school,below average,excellent,0.9145
very happy,1973,50,male,married,high school,average,excellent,0.9145
pretty happy,1973,68,male,married,lt high school,below average,good,0.9145
pretty happy,1973,47,female,never married,high school,average,good,0.4572
pretty happy,1973,26,male,married,high school,average,fair,0.9145
pretty happy,1973,34,female,married,high school,average,poor,0.9145
pretty happy,1973,39,female,married,high school,average,good,0.9145
very happy,1973,30,male,married,high school,average,excellent,0.9145
very happy,1973,65,female,married,high school,average,excellent,0.9145
pretty happy,1973,74,male,married,high school,average,fair,0.9145
pretty happy,1973,59,female,married,high school,above average,good,1.3717
pretty happy,1973,67,male,married,high school,average,good,0.9145
very happy,1973,26,male,married,high school,average,good,0.9145
pretty happy,1973,71,male,married,bachelor,above average,excellent,0.9145
very happy,1973,20,male,never married,high school,average,excellent,1.3717
very happy,1973,23,female,never married,graduate,above average,excellent,0.9145
pretty happy,1973,33,male,married,high school,average,fair,0.9145
very happy,1973,24,female,married,high school,above average,excellent,0.9145
very happy,1973,41,female,married,high school,average,excellent,0.9145
pretty happy,1973,69,female,widowed,lt high school,NA,good,0.4572
very happy,1973,43,male,married,high school,above average,excellent,0.9145
very happy,1973,62,male,married,high school,average,good,0.9145
not too happy,1973,54,female,separated,lt high school,below average,fair,0.4572
pretty happy,1973,43,female,married,NA,average,good,2.2862
very happy,1973,21,female,married,high school,average,good,0.9145
pretty happy,1973,23,male,never married,high school,average,good,2.2862
very happy,1973,28,female,married,high school,average,excellent,1.3717
pretty happy,1973,52,female,married,high school,average,excellent,0.9145
very happy,1973,20,female,married,high school,above average,excellent,0.9145
not too happy,1973,61,female,married,lt high school,average,fair,0.9145
very happy,1973,60,female,married,bachelor,below average,fair,0.9145
pretty happy,1973,32,male,never married,lt high school,below average,good,0.4572
very happy,1973,74,male,married,lt high school,average,fair,0.9145
very happy,1973,53,male,married,high school,above average,excellent,1.3717
not too happy,1973,37,female,married,lt high school,average,good,0.9145
very happy,1973,23,female,married,high school,average,good,0.9145
very happy,1973,60,male,married,lt high school,average,fair,0.9145
very happy,1973,53,female,married,high school,average,excellent,0.9145
pretty happy,1973,28,female,married,bachelor,far above average,excellent,0.9145
pretty happy,1973,21,female,never married,high school,above average,excellent,1.3717
very happy,1973,48,male,married,junior college,average,excellent,0.9145
very happy,1973,41,female,married,high school,average,excellent,0.9145
pretty happy,1973,57,male,never married,high school,average,good,0.9145
very happy,1973,19,male,never married,high school,average,excellent,1.829
very happy,1973,41,female,married,high school,average,good,0.9145
pretty happy,1973,47,male,separated,lt high school,average,excellent,0.9145
pretty happy,1973,20,female,never married,high school,average,good,1.3717
pretty happy,1973,22,male,married,high school,below average,excellent,0.9145
pretty happy,1973,46,female,married,high school,above average,good,0.9145
pretty happy,1973,63,male,never married,lt high school,average,fair,1.829
pretty happy,1973,43,female,married,high school,below average,fair,1.3717
very happy,1973,27,male,married,high school,average,fair,0.9145
pretty happy,1973,28,female,never married,bachelor,above average,good,0.4572
pretty happy,1973,68,male,widowed,lt high school,average,good,0.9145
pretty happy,1973,22,male,married,lt high school,average,good,0.9145
pretty happy,1973,72,female,married,lt high school,average,good,0.9145
pretty happy,1973,30,female,married,graduate,above average,good,0.9145
pretty happy,1973,28,female,separated,high school,average,good,1.3717
pretty happy,1973,48,female,divorced,lt high school,far below average,good,0.9145
pretty happy,1973,36,female,separated,lt high school,below average,good,0.9145
pretty happy,1973,36,male,married,lt high school,below average,poor,0.9145
pretty happy,1973,56,male,married,lt high school,average,good,1.829
pretty happy,1973,25,female,married,high school,average,good,0.9145
pretty happy,1973,46,male,married,high school,average,excellent,1.3717
very happy,1973,26,female,married,lt high school,below average,fair,0.9145
pretty happy,1973,38,female,married,lt high school,average,fair,0.9145
not too happy,1973,58,male,married,high school,average,good,0.9145
pretty happy,1973,31,female,married,high school,average,excellent,0.9145
pretty happy,1973,36,male,married,graduate,above average,good,0.9145
pretty happy,1973,50,female,married,bachelor,above average,good,0.9145
pretty happy,1973,68,male,married,bachelor,above average,good,0.9145
very happy,1973,49,female,married,lt high school,average,excellent,0.9145
not too happy,1973,28,male,never married,bachelor,below average,poor,1.3717
pretty happy,1973,20,female,never married,high school,average,excellent,0.4572
very happy,1973,63,male,married,lt high school,below average,good,0.9145
not too happy,1973,21,male,married,high school,average,excellent,0.9145
pretty happy,1973,39,female,married,lt high school,average,fair,1.3717
very happy,1973,63,male,married,high school,below average,fair,0.9145
very happy,1973,23,female,married,high school,above average,excellent,0.9145
pretty happy,1973,36,female,married,high school,average,good,0.9145
pretty happy,1973,32,female,married,high school,average,poor,0.9145
very happy,1973,53,female,married,lt high school,average,good,0.9145
pretty happy,1973,NA,female,married,lt high school,average,good,0.9145
very happy,1973,23,female,married,high school,average,excellent,0.9145
pretty happy,1973,79,female,never married,lt high school,average,good,0.9145
pretty happy,1973,41,male,divorced,lt high school,average,excellent,0.4572
very happy,1973,28,male,married,lt high school,average,excellent,0.9145
very happy,1973,58,female,widowed,high school,below average,good,0.9145
pretty happy,1973,44,male,married,high school,below average,excellent,0.9145
very happy,1973,25,female,married,high school,average,excellent,0.9145
very happy,1973,23,female,married,lt high school,average,poor,0.9145
very happy,1973,44,male,separated,lt high school,average,excellent,0.9145
pretty happy,1973,63,male,married,high school,average,good,0.4572
very happy,1973,42,female,married,high school,above average,good,0.9145
pretty happy,1973,63,female,married,high school,below average,fair,1.3717
not too happy,1973,55,female,married,high school,average,good,1.3717
pretty happy,1973,26,male,married,high school,average,good,0.9145
pretty happy,1973,22,female,married,high school,average,good,0.9145
pretty happy,1973,29,female,married,high school,average,excellent,0.9145
pretty happy,1973,82,male,married,lt high school,average,good,0.9145
pretty happy,1973,24,male,never married,bachelor,average,excellent,0.9145
not too happy,1973,24,female,never married,junior college,average,good,1.3717
pretty happy,1973,62,male,widowed,lt high school,below average,poor,0.4572
very happy,1973,58,female,married,lt high school,average,good,1.3717
pretty happy,1973,66,female,married,lt high school,average,fair,0.9145
very happy,1973,51,female,married,lt high school,average,good,1.829
pretty happy,1973,79,male,widowed,lt high school,average,good,1.829
very happy,1973,71,female,married,high school,average,fair,0.9145
pretty happy,1973,49,male,never married,bachelor,above average,good,0.9145
not too happy,1973,55,male,divorced,high school,average,excellent,0.9145
pretty happy,1973,67,male,widowed,lt high school,average,good,0.4572
pretty happy,1973,23,male,married,high school,average,good,0.9145
very happy,1973,44,female,never married,lt high school,below average,good,1.3717
pretty happy,1973,31,male,divorced,lt high school,below average,fair,0.9145
not too happy,1973,52,male,married,high school,average,fair,0.9145
pretty happy,1973,54,female,married,lt high school,average,good,1.829
pretty happy,1973,58,male,married,high school,below average,poor,1.3717
pretty happy,1973,77,female,widowed,lt high school,average,fair,1.3717
pretty happy,1973,33,female,married,high school,average,excellent,0.9145
very happy,1973,33,male,married,lt high school,above average,excellent,0.9145
very happy,1973,47,male,married,high school,average,excellent,0.9145
pretty happy,1973,49,female,married,high school,average,fair,0.9145
very happy,1973,44,male,married,high school,above average,good,0.9145
not too happy,1973,29,male,married,high school,below average,good,0.9145
pretty happy,1973,22,female,never married,high school,above average,good,1.3717
very happy,1973,31,female,married,high school,above average,excellent,0.9145
very happy,1973,67,male,married,lt high school,far below average,fair,0.9145
pretty happy,1973,67,female,married,lt high school,below average,good,0.9145
pretty happy,1973,34,male,married,high school,below average,fair,1.829
pretty happy,1973,74,male,married,high school,average,fair,0.9145
very happy,1973,36,female,married,high school,average,excellent,0.9145
pretty happy,1973,22,female,never married,high school,average,excellent,0.9145
very happy,1973,74,male,married,high school,above average,excellent,0.9145
very happy,1973,48,male,married,lt high school,above average,excellent,0.9145
very happy,1973,54,female,married,high school,average,good,1.3717
pretty happy,1973,22,male,never married,high school,average,good,1.3717
very happy,1973,53,female,married,lt high school,above average,good,1.3717
pretty happy,1973,20,male,never married,high school,above average,good,1.3717
very happy,1973,31,female,married,lt high school,below average,poor,1.3717
very happy,1973,41,female,married,lt high school,average,excellent,0.9145
pretty happy,1973,40,male,married,high school,average,good,0.9145
pretty happy,1973,40,male,married,bachelor,average,good,0.9145
very happy,1973,25,male,married,lt high school,above average,excellent,0.9145
pretty happy,1973,66,female,widowed,lt high school,average,fair,1.3717
very happy,1973,65,male,married,high school,average,fair,0.9145
not too happy,1973,68,female,widowed,lt high school,average,good,1.829
not too happy,1973,19,female,never married,high school,above average,fair,1.3717
pretty happy,1973,45,male,married,graduate,average,good,0.9145
pretty happy,1973,20,female,never married,high school,average,excellent,1.829
very happy,1973,27,male,married,lt high school,average,good,0.9145
very happy,1973,70,male,married,lt high school,average,good,0.9145
pretty happy,1973,49,female,divorced,lt high school,average,excellent,0.4572
pretty happy,1973,21,male,never married,junior college,above average,good,0.9145
very happy,1973,40,female,married,high school,above average,excellent,0.9145
pretty happy,1973,26,male,married,graduate,average,good,0.9145
very happy,1973,60,female,married,high school,below average,excellent,0.9145
not too happy,1973,45,male,married,lt high school,below average,poor,0.9145
very happy,1973,49,male,married,lt high school,above average,fair,0.9145
not too happy,1973,34,male,married,lt high school,average,fair,0.9145
very happy,1973,52,female,married,high school,average,good,0.9145
very happy,1973,39,female,married,high school,average,good,0.9145
pretty happy,1973,51,male,married,lt high school,average,fair,0.9145
pretty happy,1973,54,male,married,lt high school,below average,good,0.9145
very happy,1973,30,female,married,high school,average,excellent,0.9145
very happy,1973,24,female,married,high school,average,good,0.9145
pretty happy,1973,75,male,married,lt high school,below average,good,1.829
very happy,1973,19,male,never married,lt high school,below average,good,1.3717
very happy,1973,56,female,married,lt high school,below average,excellent,1.829
pretty happy,1973,57,female,married,lt high school,average,fair,0.9145
very happy,1973,69,male,married,lt high school,below average,poor,1.3717
not too happy,1973,52,female,married,lt high school,average,fair,0.9145
pretty happy,1973,24,male,married,lt high school,below average,good,0.9145
not too happy,1973,38,female,married,lt high school,average,poor,1.3717
very happy,1973,51,female,married,bachelor,far above average,excellent,0.9145
very happy,1973,73,male,married,high school,above average,excellent,2.2862
pretty happy,1973,67,male,married,high school,average,good,0.9145
pretty happy,1973,25,female,never married,bachelor,below average,good,0.9145
pretty happy,1973,45,female,married,bachelor,average,fair,0.9145
pretty happy,1973,29,male,married,junior college,average,good,0.9145
very happy,1973,32,male,married,lt high school,average,excellent,2.2862
very happy,1973,37,male,married,lt high school,far below average,excellent,0.9145
pretty happy,1973,48,female,widowed,high school,average,good,0.9145
not too happy,1973,41,female,married,lt high school,below average,good,0.9145
pretty happy,1973,46,female,married,lt high school,average,excellent,1.829
not too happy,1973,72,male,married,lt high school,below average,good,0.9145
very happy,1973,57,female,married,high school,average,fair,0.9145
pretty happy,1973,24,female,married,high school,average,excellent,0.9145
not too happy,1973,21,male,never married,high school,average,fair,0.9145
very happy,1973,27,female,married,high school,average,good,0.9145
pretty happy,1973,29,female,married,high school,average,good,0.9145
pretty happy,1973,69,male,married,lt high school,average,good,0.9145
not too happy,1973,69,female,widowed,lt high school,below average,fair,0.4572
pretty happy,1973,51,male,married,lt high school,average,good,0.9145
not too happy,1973,54,male,married,bachelor,far below average,excellent,1.3717
not too happy,1973,38,male,married,lt high school,average,excellent,0.9145
not too happy,1973,79,female,separated,high school,average,good,1.3717
pretty happy,1973,58,female,married,lt high school,average,good,1.3717
pretty happy,1973,66,female,married,lt high school,average,poor,0.9145
pretty happy,1973,66,female,divorced,lt high school,average,good,0.4572
pretty happy,1973,42,male,never married,lt high school,average,excellent,0.4572
pretty happy,1973,72,male,married,lt high school,below average,poor,0.9145
very happy,1973,64,female,never married,high school,below average,poor,0.9145
very happy,1973,26,female,married,graduate,far below average,good,0.9145
very happy,1973,24,male,married,lt high school,below average,good,0.9145
pretty happy,1973,64,female,married,lt high school,average,fair,0.9145
pretty happy,1973,19,female,never married,high school,above average,excellent,1.3717
very happy,1973,46,male,married,lt high school,average,good,0.9145
very happy,1973,59,male,married,lt high school,average,excellent,0.9145
pretty happy,1973,79,female,widowed,lt high school,average,good,0.9145
pretty happy,1973,52,male,married,graduate,above average,excellent,1.3717
pretty happy,1973,58,female,married,high school,above average,good,0.9145
very happy,1973,38,male,married,bachelor,above average,good,0.9145
very happy,1973,34,male,married,high school,above average,good,0.9145
very happy,1973,65,male,married,bachelor,above average,excellent,1.3717
pretty happy,1973,42,female,married,lt high school,average,good,0.9145
very happy,1973,33,male,married,high school,above average,good,0.9145
pretty happy,1973,29,female,married,high school,below average,fair,0.9145
pretty happy,1973,56,female,married,high school,average,fair,0.9145
very happy,1973,21,female,married,lt high school,average,excellent,0.9145
pretty happy,1973,31,female,married,lt high school,average,good,0.9145
very happy,1973,67,male,married,lt high school,below average,good,0.9145
pretty happy,1973,37,male,married,lt high school,average,fair,0.9145
very happy,1973,64,female,married,lt high school,average,excellent,0.9145
pretty happy,1973,35,male,married,high school,below average,good,0.9145
very happy,1973,68,male,married,lt high school,below average,good,0.9145
pretty happy,1973,36,female,married,high school,average,good,1.3717
pretty happy,1973,23,female,never married,high school,average,good,0.9145
pretty happy,1973,21,female,never married,high school,average,excellent,1.829
not too happy,1973,47,female,separated,lt high school,far below average,fair,0.9145
not too happy,1973,51,female,married,lt high school,below average,fair,0.9145
not too happy,1973,42,male,separated,high school,below average,fair,1.829
pretty happy,1973,77,male,married,high school,below average,fair,0.9145
pretty happy,1973,61,male,married,lt high school,average,good,0.9145
very happy,1973,36,male,married,bachelor,average,excellent,0.9145
pretty happy,1973,36,female,married,graduate,above average,excellent,0.9145
pretty happy,1973,33,female,married,high school,average,good,0.9145
very happy,1973,31,female,married,high school,average,excellent,0.9145
very happy,1973,25,male,never married,high school,average,good,1.3717
pretty happy,1973,56,male,widowed,graduate,average,fair,0.4572
pretty happy,1973,58,male,never married,high school,average,fair,0.4572
not too happy,1973,25,male,never married,lt high school,average,excellent,0.4572
pretty happy,1973,26,female,married,bachelor,below average,good,1.3717
pretty happy,1973,27,female,married,high school,average,excellent,0.9145
very happy,1973,46,male,married,lt high school,average,excellent,0.9145
very happy,1973,52,male,married,lt high school,average,good,1.829
very happy,1973,60,female,married,lt high school,average,excellent,0.9145
pretty happy,1973,27,male,never married,high school,below average,excellent,1.829
pretty happy,1973,43,female,married,high school,average,excellent,0.9145
very happy,1973,35,female,married,high school,average,excellent,0.9145
pretty happy,1973,63,male,married,high school,average,fair,0.9145
pretty happy,1973,25,male,never married,bachelor,average,excellent,1.3717
pretty happy,1973,29,female,never married,bachelor,above average,excellent,1.3717
pretty happy,1973,44,female,divorced,high school,average,good,0.4572
pretty happy,1973,19,male,married,high school,above average,excellent,0.9145
not too happy,1973,66,female,widowed,lt high school,below average,poor,0.4572
very happy,1973,42,female,married,high school,far above average,good,0.9145
not too happy,1973,27,female,married,bachelor,above average,excellent,0.9145
pretty happy,1973,72,male,married,lt high school,above average,fair,0.9145
very happy,1973,54,male,married,high school,above average,excellent,0.9145
pretty happy,1973,25,female,married,high school,below average,good,0.9145
very happy,1973,58,female,married,lt high school,average,good,0.9145
pretty happy,1973,23,female,married,high school,average,good,0.9145
not too happy,1973,20,male,never married,high school,average,good,0.9145
not too happy,1973,38,male,divorced,lt high school,average,excellent,0.4572
pretty happy,1973,25,male,married,lt high school,average,good,0.9145
pretty happy,1973,71,female,divorced,lt high school,average,fair,0.4572
NA,1973,68,female,widowed,lt high school,average,good,0.4572
pretty happy,1973,54,male,married,lt high school,far below average,good,0.9145
pretty happy,1973,37,male,married,high school,below average,good,0.9145
very happy,1973,77,female,widowed,bachelor,average,excellent,0.4572
not too happy,1973,21,male,married,high school,far below average,good,0.9145
pretty happy,1973,22,female,married,lt high school,below average,fair,0.9145
very happy,1973,57,female,married,high school,average,excellent,0.9145
pretty happy,1973,33,male,married,high school,average,excellent,0.9145
pretty happy,1973,59,female,never married,lt high school,above average,fair,1.3717
pretty happy,1973,48,female,married,high school,below average,excellent,0.9145
pretty happy,1973,45,male,married,high school,above average,poor,0.9145
very happy,1973,32,female,married,bachelor,average,good,0.9145
pretty happy,1973,35,male,married,high school,average,good,0.9145
very happy,1973,39,female,married,graduate,above average,good,0.9145
very happy,1973,27,female,married,high school,average,good,0.9145
very happy,1973,36,male,married,high school,average,excellent,0.9145
pretty happy,1973,37,male,married,lt high school,average,excellent,0.9145
pretty happy,1973,51,male,married,high school,average,fair,1.3717
very happy,1973,29,female,married,high school,average,excellent,1.3717
pretty happy,1973,29,male,married,high school,above average,excellent,0.9145
pretty happy,1973,76,female,never married,lt high school,average,good,0.4572
pretty happy,1973,35,female,married,high school,average,fair,0.9145
very happy,1973,34,female,married,lt high school,average,good,0.9145
pretty happy,1973,40,male,married,high school,average,excellent,0.9145
pretty happy,1973,36,female,married,high school,average,fair,0.9145
not too happy,1973,31,male,married,lt high school,below average,poor,0.9145
pretty happy,1973,19,female,never married,lt high school,average,excellent,2.2862
pretty happy,1973,70,female,widowed,lt high school,average,good,1.3717
very happy,1973,28,female,divorced,high school,below average,excellent,0.4572
very happy,1973,28,female,married,high school,average,excellent,0.9145
pretty happy,1973,44,male,married,lt high school,average,excellent,1.3717
pretty happy,1973,27,male,never married,high school,above average,fair,2.2862
very happy,1973,38,male,married,bachelor,above average,excellent,0.4572
very happy,1973,25,male,married,bachelor,average,excellent,0.4572
not too happy,1973,27,female,married,high school,above average,excellent,0.9145
very happy,1973,33,female,married,high school,average,fair,0.9145
pretty happy,1973,37,female,married,high school,average,good,0.9145
pretty happy,1973,24,male,married,high school,above average,excellent,0.9145
pretty happy,1973,51,male,married,high school,average,excellent,0.9145
very happy,1973,51,male,married,lt high school,average,excellent,0.9145
very happy,1973,74,female,widowed,lt high school,above average,excellent,0.4572
pretty happy,1973,21,female,never married,high school,below average,good,1.3717
very happy,1973,42,female,married,high school,far above average,excellent,0.9145
pretty happy,1973,44,male,married,lt high school,above average,excellent,1.3717
pretty happy,1973,43,female,married,high school,average,poor,0.9145
pretty happy,1973,24,male,married,high school,average,good,0.9145
pretty happy,1973,50,female,married,high school,average,good,1.3717
pretty happy,1973,23,female,never married,high school,average,good,0.9145
very happy,1973,38,male,married,graduate,above average,excellent,0.9145
very happy,1973,24,male,married,bachelor,average,excellent,0.9145
pretty happy,1973,39,female,married,high school,average,good,0.9145
very happy,1973,36,female,married,high school,average,excellent,0.9145
very happy,1973,26,female,married,high school,average,good,0.9145
pretty happy,1973,37,male,married,bachelor,far above average,excellent,0.9145
pretty happy,1973,21,female,married,high school,average,fair,0.9145
not too happy,1973,21,male,separated,high school,average,good,0.4572
pretty happy,1973,34,female,divorced,lt high school,below average,good,0.4572
pretty happy,1973,70,male,married,lt high school,below average,good,0.9145
very happy,1973,43,female,married,lt high school,average,good,0.9145
very happy,1973,72,female,married,lt high school,average,fair,0.9145
pretty happy,1973,35,female,married,high school,average,good,0.9145
pretty happy,1973,23,male,never married,lt high school,average,fair,1.3717
pretty happy,1973,46,female,married,high school,above average,poor,0.9145
pretty happy,1973,68,female,widowed,lt high school,average,fair,0.4572
very happy,1973,61,male,married,high school,above average,good,0.9145
very happy,1973,70,male,married,high school,average,good,0.9145
very happy,1973,35,male,married,high school,average,excellent,0.9145
pretty happy,1973,32,female,married,high school,below average,good,0.9145
very happy,1973,64,male,married,lt high school,average,excellent,0.9145
not too happy,1973,46,female,widowed,lt high school,average,fair,0.9145
pretty happy,1973,20,male,never married,high school,far below average,excellent,0.9145
pretty happy,1973,51,female,married,lt high school,average,excellent,1.3717
pretty happy,1973,24,male,never married,bachelor,average,excellent,1.3717
pretty happy,1973,43,female,married,high school,average,excellent,1.829
pretty happy,1973,63,male,married,graduate,far above average,excellent,0.9145
not too happy,1973,78,female,married,high school,average,good,0.9145
pretty happy,1973,59,male,separated,lt high school,average,good,1.3717
very happy,1973,19,female,never married,NA,below average,excellent,1.3717
pretty happy,1973,19,male,never married,high school,below average,fair,1.3717
very happy,1973,56,male,married,lt high school,average,excellent,1.3717
not too happy,1973,65,female,married,lt high school,far below average,poor,1.829
very happy,1973,20,male,never married,high school,average,excellent,1.3717
pretty happy,1973,37,female,divorced,NA,below average,good,0.4572
pretty happy,1973,72,male,married,lt high school,average,poor,0.9145
very happy,1973,55,male,married,lt high school,above average,good,0.9145
very happy,1973,33,female,married,lt high school,average,excellent,0.9145
pretty happy,1973,35,female,married,high school,average,good,0.9145
pretty happy,1973,39,female,married,high school,average,poor,0.9145
pretty happy,1973,29,male,married,high school,average,excellent,0.9145
pretty happy,1973,64,male,married,bachelor,above average,good,0.9145
very happy,1973,51,female,married,high school,above average,good,1.829
pretty happy,1973,53,male,married,bachelor,far above average,excellent,0.9145
very happy,1973,74,female,widowed,bachelor,above average,good,1.3717
pretty happy,1973,45,female,married,bachelor,above average,fair,1.829
pretty happy,1973,25,female,married,high school,average,excellent,0.9145
pretty happy,1973,22,female,married,high school,below average,fair,0.9145
very happy,1973,54,female,married,high school,above average,excellent,0.9145
pretty happy,1973,64,male,married,lt high school,far below average,good,0.9145
very happy,1973,65,male,separated,high school,average,fair,0.4572
not too happy,1973,24,male,never married,high school,average,excellent,1.3717
very happy,1973,49,female,married,high school,above average,excellent,1.3717
pretty happy,1973,44,male,married,bachelor,average,good,0.9145
very happy,1973,51,female,married,lt high school,average,fair,0.9145
pretty happy,1973,33,female,married,high school,average,good,0.9145
very happy,1973,60,female,married,lt high school,below average,fair,0.9145
very happy,1973,57,male,married,lt high school,average,good,0.9145
pretty happy,1973,27,female,married,high school,average,excellent,1.829
pretty happy,1973,40,male,married,graduate,above average,excellent,0.9145
very happy,1973,36,female,married,high school,average,excellent,0.9145
pretty happy,1973,38,female,married,lt high school,above average,poor,0.9145
not too happy,1973,22,female,married,lt high school,average,good,0.9145
very happy,1973,59,female,married,bachelor,far above average,excellent,1.3717
not too happy,1973,24,male,never married,high school,average,good,1.3717
pretty happy,1973,42,male,married,lt high school,below average,good,1.829
not too happy,1973,24,male,divorced,high school,average,fair,1.829
very happy,1973,69,female,widowed,lt high school,below average,excellent,0.4572
pretty happy,1973,34,male,married,lt high school,average,good,0.9145
very happy,1973,31,female,married,high school,average,excellent,0.9145
pretty happy,1973,29,female,married,lt high school,above average,good,0.9145
pretty happy,1973,20,female,never married,high school,above average,excellent,1.3717
very happy,1973,56,female,married,bachelor,above average,excellent,1.829
very happy,1973,61,female,married,high school,average,excellent,1.3717
very happy,1973,29,male,married,graduate,average,excellent,0.9145
very happy,1973,67,male,married,high school,average,good,0.9145
pretty happy,1973,64,male,married,high school,average,fair,0.9145
very happy,1973,73,female,widowed,high school,average,poor,0.4572
very happy,1973,37,female,married,high school,average,excellent,0.9145
very happy,1973,27,male,never married,high school,below average,good,1.3717
pretty happy,1973,34,female,never married,high school,average,excellent,0.4572
very happy,1973,59,female,married,high school,below average,good,0.9145
pretty happy,1973,35,male,married,high school,above average,excellent,0.9145
pretty happy,1973,22,female,married,high school,average,good,0.9145
pretty happy,1973,68,male,married,lt high school,average,fair,0.9145
very happy,1973,64,male,married,lt high school,average,fair,0.9145
not too happy,1973,77,female,widowed,lt high school,far below average,poor,0.9145
pretty happy,1973,27,female,married,lt high school,far above average,fair,0.9145
very happy,1973,62,female,married,high school,above average,excellent,0.9145
pretty happy,1973,51,male,married,lt high school,below average,good,2.2862
pretty happy,1973,38,male,married,lt high school,below average,good,0.9145
very happy,1973,63,female,married,lt high school,average,good,0.9145
pretty happy,1973,29,female,married,graduate,average,good,0.9145
pretty happy,1973,23,male,never married,bachelor,average,excellent,1.829
pretty happy,1973,22,male,never married,high school,average,excellent,2.2862
very happy,1973,89,male,married,high school,average,fair,0.9145
pretty happy,1973,26,female,married,junior college,average,excellent,0.9145
very happy,1973,47,female,married,high school,above average,good,1.829
not too happy,1973,64,male,married,graduate,average,good,0.9145
pretty happy,1973,65,male,married,lt high school,average,good,0.9145
very happy,1973,29,male,married,bachelor,above average,good,0.9145
very happy,1973,24,male,married,bachelor,below average,excellent,0.9145
pretty happy,1973,27,male,never married,graduate,above average,excellent,0.4572
pretty happy,1973,64,female,divorced,lt high school,below average,good,0.9145
very happy,1973,86,female,never married,graduate,average,good,0.4572
very happy,1973,47,male,married,high school,average,excellent,2.7435
very happy,1973,59,female,married,lt high school,above average,good,0.9145
pretty happy,1973,52,female,married,high school,average,fair,1.3717
not too happy,1973,79,male,widowed,lt high school,below average,fair,0.4572
very happy,1973,48,male,married,high school,average,fair,0.9145
very happy,1973,19,male,never married,high school,average,excellent,1.829
very happy,1973,35,female,married,high school,above average,good,0.9145
pretty happy,1973,66,male,married,high school,above average,fair,1.3717
very happy,1973,54,female,married,lt high school,average,fair,0.9145
pretty happy,1973,52,male,married,lt high school,above average,good,1.3717
pretty happy,1973,33,female,married,high school,above average,good,0.9145
very happy,1973,68,female,widowed,high school,average,fair,0.4572
pretty happy,1973,28,female,married,bachelor,average,excellent,0.9145
pretty happy,1973,43,female,married,high school,average,poor,1.3717
very happy,1973,38,male,married,bachelor,above average,excellent,0.9145
pretty happy,1973,27,male,married,bachelor,average,excellent,1.3717
very happy,1973,32,female,married,high school,above average,excellent,0.9145
pretty happy,1973,20,male,never married,high school,average,excellent,1.3717
very happy,1973,48,female,married,high school,above average,good,2.2862
pretty happy,1973,48,female,married,high school,above average,good,0.9145
very happy,1973,42,male,married,graduate,far above average,excellent,0.9145
very happy,1973,45,male,married,lt high school,above average,good,1.3717
not too happy,1973,76,female,widowed,high school,average,good,0.4572
pretty happy,1973,66,female,married,high school,average,good,1.829
pretty happy,1973,27,male,never married,high school,average,good,0.4572
pretty happy,1973,28,female,married,lt high school,average,good,0.9145
not too happy,1973,23,male,never married,high school,average,fair,2.2862
pretty happy,1973,26,female,married,bachelor,average,good,0.9145
pretty happy,1973,44,female,married,high school,average,good,0.9145
not too happy,1973,35,male,married,bachelor,average,excellent,0.9145
very happy,1973,49,male,married,bachelor,above average,excellent,1.3717
very happy,1973,56,male,married,high school,average,excellent,0.9145
pretty happy,1973,73,female,married,lt high school,average,good,0.9145
very happy,1973,40,female,married,lt high school,above average,excellent,1.3717
pretty happy,1973,31,male,married,high school,average,good,0.9145
very happy,1973,29,female,married,high school,above average,good,0.9145
very happy,1973,25,female,married,high school,below average,good,0.9145
very happy,1973,42,female,married,high school,average,good,0.9145
not too happy,1973,39,male,married,lt high school,average,fair,0.9145
